F	W1	W2
142597.9443	0.000314942	-0.008293317
143206.7481	0.000304798	-0.008313876
143813.3157	0.000294555	-0.008334412
144417.619	0.000284214	-0.008354925
145019.6244	0.000273775	-0.008375416
145619.3047	0.000263237	-0.008395885
146216.6274	0.000252603	-0.008416331
146811.5618	0.000241872	-0.008436755
147404.079	0.000231044	-0.008457156
147994.1506	0.000220121	-0.008477535
148581.7434	0.000209102	-0.008497892
149166.8291	0.000197988	-0.008518226
149749.3785	0.000186779	-0.008538539
150329.3617	0.000175477	-0.008558829
150906.7481	0.00016408	-0.008579097
151481.5116	0.00015259	-0.008599343
152053.6185	0.000141008	-0.008619566
152623.0426	0.000129332	-0.008639768
153189.7535	0.000117565	-0.008659947
153753.7242	0.000105706	-0.008680105
154314.9232	9.37562E-05	-0.00870024
154873.3218	8.17152E-05	-0.008720353
155428.8926	6.95838E-05	-0.008740444
155981.6053	5.73623E-05	-0.008760514
156531.4338	4.50512E-05	-0.00878056
157078.3469	3.26508E-05	-0.008800585
157622.3167	2.01616E-05	-0.008820588
158163.3136	7.58395E-06	-0.008840569
158701.311	-5.08182E-06	-0.008860527
159236.2791	-1.78353E-05	-0.008880464
159768.1898	-3.06761E-05	-0.008900378
160297.0157	-4.36039E-05	-0.00892027
160822.7267	-5.66182E-05	-0.00894014
161345.294	-6.97188E-05	-0.008959988
161864.693	-8.29052E-05	-0.008979813
162380.8911	-9.61772E-05	-0.008999617
162893.8608	-0.000109534	-0.009019398
163403.577	-0.000122976	-0.009039157
163910.0075	-0.000136502	-0.009058894
164413.1269	-0.000150113	-0.009078608
164912.904	-0.000163807	-0.0090983
165409.3132	-0.000177584	-0.00911797
165902.327	-0.000191445	-0.009137617
166391.913	-0.000205388	-0.009157242
166878.0483	-0.000219414	-0.009176844
167360.6992	-0.000233521	-0.009196424
167839.8418	-0.000247711	-0.009215981
168315.4446	-0.000261981	-0.009235515
168787.4824	-0.000276333	-0.009255027
169255.9245	-0.000290766	-0.009274516
169720.7438	-0.000305279	-0.009293983
170181.911	-0.000319872	-0.009313426
170639.4	-0.000334545	-0.009332847
171093.1793	-0.000349298	-0.009352245
171543.2235	-0.00036413	-0.00937162
171989.5016	-0.000379041	-0.009390972
172431.9883	-0.00039403	-0.009410301
172870.6521	-0.000409098	-0.009429606
173305.4647	-0.000424243	-0.009448889
173736.3998	-0.000439467	-0.009468148
174163.4252	-0.000454768	-0.009487384
174586.5183	-0.000470146	-0.009506596
175005.6442	-0.000485601	-0.009525786
175420.7783	-0.000501133	-0.009544951
175831.8895	-0.000516741	-0.009564093
176238.9503	-0.000532425	-0.009583211
176641.9311	-0.000548185	-0.009602306
177040.8035	-0.000564021	-0.009621377
177435.5389	-0.000579932	-0.009640424
177826.1078	-0.000595918	-0.009659447
178212.4812	-0.000611979	-0.009678446
178594.629	-0.000628114	-0.009697421
178972.5231	-0.000644323	-0.009716371
179346.1356	-0.000660607	-0.009735298
179715.4352	-0.000676964	-0.0097542
